title,description,date,trip_id
gift,buy Tanya a shirt with Seattle sightseeing,2015-11-15,1
clothes,buy a swimming suit flip-flops sunglasses and hat,2015-11-15,1
phone call,parents asked to give them a call when I land,2015-11-21,1
big buddha,visit the statue of big buddha by the beach,2015-11-21,1
motorbike,rent motorbike,2015-11-21,1
friends,meet up with Marat and other sunserfers,2015-11-25,1
massage,get foot massage at the spa salon I was before,2015-11-26,1
thai box,checkout out the place near by cafe we usually eat,2015-11-27,1
durian,buy more durians in local market,2015-11-27,1
haircut,get haircut at my favorite salon,2015-11-27,1
